id,age,age_group,gender,race,education,partyid,libcon,fo_dei,fo_jus_soli,fo_ukraine_mil,fo_israel_mil,fo_reduce_unequal,fo_schoolvax,fo_trans_mil,harris_likes,harris_dislikes,trump_likes,trump_dislikes,mipp_1,harris_therm,trump_therm
140012,59,55-64,1. Man,"1. White, non-Hispanic",2. High school credential,2. Not very strong Democrat,4. Moderate; middle of the road,4. Neither favor nor oppose,6. Oppose moderately,4. Neither favor nor oppose,4. Neither favor nor oppose,7. Oppose a great deal,1. Favor a great deal,2. Favor a moderate amount,She seems to be a good person with decent morals and values,NA,NA,He is a horrible person,"Hatred toward LGT,  Communities, and deportations, lack of care about education, healthcare and insurance costs",60,0
140013,34,25-34,2. Woman,"1. White, non-Hispanic",2. High school credential,5. Independent-Republican,5. Slightly conservative,4. Neither favor nor oppose,2. Favor moderately,5. Oppose a little,4. Neither favor nor oppose,4. Neither favor nor oppose,4. Neither favor nor oppose,6. Oppose a moderate amount,NA,I want a male president,TRUMP 2024[CHAR(10)]im on my donald trump shit.,NA,financial money jobs housing food,0,100
140014,42,35-44,1. Man,"4. Asian or Native Hawaiian/other Pacific Islander, non-Hispanic",5. Graduate degree,3. Independent-Democrat,4. Moderate; middle of the road,1. Favor a great deal,5. Oppose a little,4. Neither favor nor oppose,7. Oppose a great deal,4. Neither favor nor oppose,4. Neither favor nor oppose,4. Neither favor nor oppose,She is the best candidate on the ballot.,NA,NA,Everything that he is and that he represents.,"lack of proper education, climate change, racism, etc.",70,0
140016,70,NA,1. Man,3. Hispanic,"3. Some post-high school, no bachelor's degree",7. Strong Republican,99. Haven't thought much about this,4. Neither favor nor oppose,1. Favor a great deal,6. Oppose moderately,1. Favor a great deal,2. Favor a moderate amount,2. Favor a moderate amount,4. Neither favor nor oppose,NA,NA,"cost of living, boarder control",NA,illegal immigration,0,100
140017,58,55-64,1. Man,"1. White, non-Hispanic",4. Bachelor's degree,3. Independent-Democrat,3. Slightly liberal,4. Neither favor nor oppose,4. Neither favor nor oppose,1. Favor a great deal,4. Neither favor nor oppose,2. Favor a moderate amount,1. Favor a great deal,1. Favor a great deal,"Strong record as a prosecutor in California, especially in regards to crime and consumer protection.",NA,NA,"His attitude towards women, minorities, as well as his hate speech and continued attacks against democracy and decency.",the dismantling of government by maga,60,0
140018,59,55-64,1. Man,"1. White, non-Hispanic",4. Bachelor's degree,1. Strong Democrat,3. Slightly liberal,4. Neither favor nor oppose,7. Oppose a great deal,1. Favor a great deal,4. Neither favor nor oppose,1. Favor a great deal,4. Neither favor nor oppose,2. Favor a moderate amount,"logical, work with both parties, try to find solutions to real problems",NA,NA,"everything. he is unqualified, self centered, and does not care about the average us citizen",income inequality,70,0
140019,66,NA,2. Woman,"1. White, non-Hispanic",4. Bachelor's degree,2. Not very strong Democrat,3. Slightly liberal,6. Oppose a moderate amount,6. Oppose moderately,1. Favor a great deal,7. Oppose a great deal,5. Oppose a little,1. Favor a great deal,4. Neither favor nor oppose,"Ms. Harris supports abortion rights. Should a Supreme Court opening occur, she would nominate a more open minded justice to the bench. She would do what is best for the country versus what is best for her herself. She nominated someone who is a much better vice presidential choice than the other candidate. I liked that she was an attorney general versus a billionaire. She has a better position on gun control then the other candidate.",NA,NA,He is concerned only with self interest versus what is best for the country. He is dishonest and makes up facts to suit his own position. He hurt our world standing with other countries and seems to only support authoritarian leaders. He enacted tax cuts that primarily only benefit the rich. He only appoints people who will agree with him otherwise they get fired. He is a threat to our Democratic institutions.,"Inflation, deficit spending, poor judicial appointments, shoring up Medicare and social security, Rx costs.",85,15
140021,35,35-44,1. Man,3. Hispanic,4. Bachelor's degree,7. Strong Republican,6. Conservative,6. Oppose a moderate amount,2. Favor moderately,7. Oppose a great deal,3. Favor a little,6. Oppose a moderate amount,2. Favor a moderate amount,7. Oppose a great deal,NA,Her and the Democratic party and their initiatives are completely what is wrong with America right now.,"Strong willed, gets things done.  He might not be the best political candidate but he 100% gets things accomplished that make sense.",NA,Handouts allowing people to stay at home and collect money when they could be working.,0,100
140023,28,25-34,1. Man,"1. White, non-Hispanic",5. Graduate degree,3. Independent-Democrat,99. Haven't thought much about this,4. Neither favor nor oppose,4. Neither favor nor oppose,1. Favor a great deal,7. Oppose a great deal,1. Favor a great deal,1. Favor a great deal,1. Favor a great deal,"She is not over 80 years old, and she seems to want to continue the tradition of voting, unlike her electoral opponent.",NA,NA,"Fascist rhetoric and overall tendencies, a (unpunished!) coup attempt in 2020, mismanagement of the Covid-19 pandemic, raising taxes on the lower and middle classes, general criminal activity and past, encouraging belligerent foreign leaders to act against the United States, undermining the allies and international standing of the United States, escalation of conflict with Iran through the assassination of one of their generals, terminating the Iran Nuclear Deal, terminating the Pan-Pacific Partnership agreement without demanding concessions from China, spending exorbitant amounts of taxpayer money on personal expenses, exposing the identities of foreign intelligence assets leading to their deaths, theft of documents from the White House, consistent racist and bigoted rhetoric, and also, I'm just tired of seeing his stupid f**king face on my television and smartphone. Make it stop.","Economic Inequality, Impending climate catastrophe, Fascism, Imperialism, the Military-Industrial Complex, Big Tech, Big Pharma, Foreign Influence, Radicalization of Federal Judges/The Supreme Court, Declining standard of living and dollar value, Selling out of future generations to fund Social Security and other Retirement programs from which we will never reap the benefits, Invasive Species, Wildfires, Christian Nationalism, and MORE!",30,0
140026,77,NA,1. Man,"1. White, non-Hispanic",4. Bachelor's degree,1. Strong Democrat,2. Liberal,4. Neither favor nor oppose,6. Oppose moderately,1. Favor a great deal,4. Neither favor nor oppose,2. Favor a moderate amount,1. Favor a great deal,4. Neither favor nor oppose,She sticks to facts and is in favor of programs for working people,NA,NA,Everything! all of what he says is repulsive and untrue,"Disconnect between Ultra conservative"" lawmakers and the people they are supposed to represent""",85,0
140027,76,NA,2. Woman,"1. White, non-Hispanic",2. High school credential,7. Strong Republican,6. Conservative,4. Neither favor nor oppose,4. Neither favor nor oppose,1. Favor a great deal,1. Favor a great deal,4. Neither favor nor oppose,1. Favor a great deal,4. Neither favor nor oppose,NA,NA,I believe he will get the economy back on tract.,some of the abortion rights that I’ve been listening to.,economy inflation is very high,30,100
140028,54,45-54,1. Man,"1. White, non-Hispanic",4. Bachelor's degree,6. Not very strong Republican,5. Slightly conservative,4. Neither favor nor oppose,4. Neither favor nor oppose,4. Neither favor nor oppose,4. Neither favor nor oppose,1. Favor a great deal,2. Favor a moderate amount,2. Favor a moderate amount,NA,NA,Country is heading in the wrong direction and needs to be corrected.,Dont like all the jabs and comments.  He needs to pull back.,economics and illegal immigration,2,71
140029,70,NA,1. Man,"1. White, non-Hispanic",5. Graduate degree,5. Independent-Republican,5. Slightly conservative,4. Neither favor nor oppose,4. Neither favor nor oppose,1. Favor a great deal,2. Favor moderately,1. Favor a great deal,1. Favor a great deal,4. Neither favor nor oppose,"Not Trump, Not Biden",NA,NA,"Threat to Democracy, Liar, Narcissistic Autocrat","Threat to democracy, Climate change, Conflict in Ukraine/  Middle-east / Sudan / sub-saharan Africa",70,0
140030,45,45-54,1. Man,3. Hispanic,2. High school credential,2. Not very strong Democrat,99. Haven't thought much about this,4. Neither favor nor oppose,7. Oppose a great deal,4. Neither favor nor oppose,4. Neither favor nor oppose,4. Neither favor nor oppose,4. Neither favor nor oppose,2. Favor a moderate amount,not to take away women's rights,NA,NA,i feel like he shouldn't be able to run for president because of his civil charges,"health insurance, social security and education",85,0
140032,49,45-54,1. Man,"1. White, non-Hispanic",2. High school credential,5. Independent-Republican,4. Moderate; middle of the road,7. Oppose a great deal,1. Favor a great deal,7. Oppose a great deal,7. Oppose a great deal,4. Neither favor nor oppose,7. Oppose a great deal,4. Neither favor nor oppose,NA,NA,NA,NA,prioritizing the existince of government over the welfare of humanity,0,50
140033,50,45-54,2. Woman,"1. White, non-Hispanic",5. Graduate degree,1. Strong Democrat,2. Liberal,3. Favor a little,1. Favor a great deal,1. Favor a great deal,4. Neither favor nor oppose,1. Favor a great deal,1. Favor a great deal,2. Favor a moderate amount,"she's smart, driven, articulate, understands social issues, advocates for women's right to choose, cares for the environment and recognizes HUMAN caused climate change, advocates for low and middle class workers, recognizes the many inequalities in the US, pragmatic about the war in Gaza, she understands US history,",NA,NA,"he is simply mentally unfit to be President, he's mentally incompetent, has no reverence for democracy, women's rights, he disrespects those in military service, is a cheater, a liar, he does not know his U.S history, he exhibits treasonous acts by siding or flattering adversaries to US (Putin and Kim Jong), he puts his own interests before the country, is a hypocrite, a bigot, sympathizes with white supremacists, is racist, and does not care about the environment","With the re nomination of Pres. elect Trump, we, as a Republic, are veering towards an autocracy",85,0
140034,70,NA,1. Man,"1. White, non-Hispanic",4. Bachelor's degree,7. Strong Republican,6. Conservative,7. Oppose a great deal,1. Favor a great deal,2. Favor moderately,1. Favor a great deal,7. Oppose a great deal,1. Favor a great deal,6. Oppose a moderate amount,NA,"she is a socialist, she has no  accomplishments and her policies will ruin this country","the economy, the border and foreign policy will be better with him as President",NA,illegal immigration and the economy,0,100
140035,64,55-64,2. Woman,"1. White, non-Hispanic",5. Graduate degree,3. Independent-Democrat,3. Slightly liberal,4. Neither favor nor oppose,7. Oppose a great deal,1. Favor a great deal,4. Neither favor nor oppose,2. Favor a moderate amount,1. Favor a great deal,1. Favor a great deal,I like that her group of advisors are younger,NA,NA,He's a narcissistic con man,"polarization, inability to compromise for the common good",80,0
140037,75,NA,2. Woman,"2. Black, non-Hispanic","3. Some post-high school, no bachelor's degree",2. Not very strong Democrat,99. Haven't thought much about this,1. Favor a great deal,4. Neither favor nor oppose,4. Neither favor nor oppose,1. Favor a great deal,1. Favor a great deal,4. Neither favor nor oppose,4. Neither favor nor oppose,SK,NA,NA,NA,health issues so many people are living below the acceptable line of property value,100,50
140038,32,25-34,2. Woman,"1. White, non-Hispanic",5. Graduate degree,2. Not very strong Democrat,2. Liberal,2. Favor a moderate amount,6. Oppose moderately,3. Favor a little,7. Oppose a great deal,1. Favor a great deal,3. Favor a little,3. Favor a little,"Knowledgable and experienced for the position, major policy goals align with mine (gun control, foreign policy, abortion), I like that she is a woman and a POC","Condescending, potential warhawk, potentially disconnected from middle american voters like me.",NA,"Foreign policy is a disaster, economic policy is a disaster, project 2025 is terrifying",far right ideology,40,0
140039,77,NA,2. Woman,"1. White, non-Hispanic",5. Graduate degree,1. Strong Democrat,1. Extremely liberal,4. Neither favor nor oppose,7. Oppose a great deal,2. Favor moderately,4. Neither favor nor oppose,1. Favor a great deal,1. Favor a great deal,1. Favor a great deal,her genuine desire to do good for her country - also her broad experience in government and her sense of morality,NA,NA,"he is unhinged, mean spirited and a danger to democracy","A second Trump presidency coupled with control of the Senate, the House of Representatives and the Supreme Court.",100,0
140040,78,NA,1. Man,"1. White, non-Hispanic",4. Bachelor's degree,6. Not very strong Republican,6. Conservative,6. Oppose a moderate amount,6. Oppose moderately,2. Favor moderately,1. Favor a great deal,4. Neither favor nor oppose,4. Neither favor nor oppose,4. Neither favor nor oppose,NA,Our southern border.[CHAR(10)]The economy,Would do a better job with the economy.[CHAR(10)]keep us out of wars.,NA,The southern border,0,100
140041,41,35-44,2. Woman,"1. White, non-Hispanic",4. Bachelor's degree,7. Strong Republican,6. Conservative,6. Oppose a moderate amount,4. Neither favor nor oppose,2. Favor moderately,1. Favor a great deal,-6. No post interview,-6. No post interview,-6. No post interview,NA,"She doesn’t have anything of value to say and her party line currently stands very far from where my values and economic preferences lie. She also helps with the polarization of our country right now which seems to make it impossible to agree on anything and have a peaceful debate, process, etc…","His economic success for this country speaks for itself. He says some stupid stuff, but my family’s financial health is very dependent on not experiencing 4 more years of what we have been dealing with.",NA,NA,NA,NA
140043,52,45-54,1. Man,"1. White, non-Hispanic",5. Graduate degree,7. Strong Republican,7. Extremely conservative,7. Oppose a great deal,1. Favor a great deal,7. Oppose a great deal,1. Favor a great deal,7. Oppose a great deal,5. Oppose a little,7. Oppose a great deal,NA,stance on abortion,experience as president,NA,"inflation, cost of living",0,100
140044,57,55-64,2. Woman,"1. White, non-Hispanic",4. Bachelor's degree,7. Strong Republican,6. Conservative,7. Oppose a great deal,7. Oppose a great deal,7. Oppose a great deal,2. Favor moderately,7. Oppose a great deal,1. Favor a great deal,4. Neither favor nor oppose,NA,She has been an absent VP.,Trump is a businessperson.   He stands strong for American values.,NA,health care and meeting basic needs,0,85
140046,-2,NA,1. Man,"1. White, non-Hispanic",1. Less than high school credential,7. Strong Republican,6. Conservative,4. Neither favor nor oppose,6. Oppose moderately,6. Oppose moderately,1. Favor a great deal,6. Oppose a moderate amount,6. Oppose a moderate amount,6. Oppose a moderate amount,NA,"everything, there is nothing I agree on with her",he a beast takes no shit,NA,Inflation and high interest rates,0,100
140048,42,35-44,1. Man,"1. White, non-Hispanic",4. Bachelor's degree,3. Independent-Democrat,3. Slightly liberal,4. Neither favor nor oppose,4. Neither favor nor oppose,2. Favor moderately,3. Favor a little,2. Favor a moderate amount,2. Favor a moderate amount,4. Neither favor nor oppose,"moderate, intelligent, reasonable",NA,NA,"crazy, unethical, embarrassing, fascist, unhinged",as a country we are not taking the risk of global warming seriously enough.  we are not doing enough.,70,15
140049,46,45-54,2. Woman,"4. Asian or Native Hawaiian/other Pacific Islander, non-Hispanic",4. Bachelor's degree,7. Strong Republican,99. Haven't thought much about this,2. Favor a moderate amount,7. Oppose a great deal,1. Favor a great deal,1. Favor a great deal,4. Neither favor nor oppose,4. Neither favor nor oppose,4. Neither favor nor oppose,NA,wasting taxpayers money on some nonsense issues,he stands firm on his belief to make America great again.,NA,"economy, inflation, weak school system, boundary security, and illegal immigrants",10,90
140050,74,NA,1. Man,"1. White, non-Hispanic",5. Graduate degree,3. Independent-Democrat,5. Slightly conservative,4. Neither favor nor oppose,7. Oppose a great deal,1. Favor a great deal,4. Neither favor nor oppose,6. Oppose a moderate amount,1. Favor a great deal,2. Favor a moderate amount,She's a well-accomplished attorney who has held major positions (attorney general in California); is black ethnically; and from her past accomplishments is well suited to be the President of the United States.[CHAR(10)],NA,NA,"He's a convicted felon and has a long-standing reputation for lying about his financials. In the late 1980's I was a senior credit officer for a large, NYC money center bank. Trump was so universally untrusted that none of the big banks would lend to him. Forced him to go to Europe to fund his projects. Deutsche Bank partnered with him to gain access to the U.S. market. Of course he defrauded them.",The politicians repond to groups that support them strongly monitarily versus stragegically.,70,0
140052,-2,NA,2. Woman,"2. Black, non-Hispanic",5. Graduate degree,1. Strong Democrat,4. Moderate; middle of the road,1. Favor a great deal,6. Oppose moderately,1. Favor a great deal,3. Favor a little,4. Neither favor nor oppose,1. Favor a great deal,1. Favor a great deal,I believe that she will preserve our democratic norms and that she will put the best interests of the country before her own interests.,NA,NA,"Donald Trump is a liar, a cheater, and he puts no one else's interests above his own. He is not interested in supporting our constitution. He is not mentally nor is he temperamentally fit to be invested with power over the lives of human beings or anything else of consequence. He appears to lack sound judgement in even the most ordinary circumstances.",The country will soon be led by a want to be dictator with no sense of right or wrong.,100,0
140053,66,NA,1. Man,"6. Multiple races, non-Hispanic",2. High school credential,3. Independent-Democrat,1. Extremely liberal,4. Neither favor nor oppose,4. Neither favor nor oppose,4. Neither favor nor oppose,4. Neither favor nor oppose,2. Favor a moderate amount,5. Oppose a little,4. Neither favor nor oppose,NA,everything about her and her plans to run the country,everything about him he will be great,NA,not sure but there is a lot,70,70
140054,-2,NA,2. Woman,"1. White, non-Hispanic","3. Some post-high school, no bachelor's degree",5. Independent-Republican,99. Haven't thought much about this,6. Oppose a moderate amount,1. Favor a great deal,2. Favor moderately,2. Favor moderately,6. Oppose a moderate amount,4. Neither favor nor oppose,4. Neither favor nor oppose,NA,she hasn't done anything as vice president of note,not a career politian,NA,No border control,0,95
140055,69,NA,2. Woman,"1. White, non-Hispanic",5. Graduate degree,1. Strong Democrat,3. Slightly liberal,6. Oppose a moderate amount,4. Neither favor nor oppose,1. Favor a great deal,2. Favor moderately,2. Favor a moderate amount,1. Favor a great deal,6. Oppose a moderate amount,"she is calm and collected, she does not appear to ‘makeup’ stories. She and President Biden are behind the union’s. The unions are for middle class people, for just wages and health benefits, etc [CHAR(10)].","I despise abortion, but I have never been raped or found myself pregnant with an unwanted pregnancy.",NA,"I believe he is a narcissist, liar, wannabe dictator. He is for the very wealthy. He was caught on a mic saying the girls love it when you grab their pussy.","the gap between very wealthy and the poor is growing, losing sight of the middle class rapidly declining",60,0
140056,50,45-54,1. Man,"1. White, non-Hispanic",5. Graduate degree,3. Independent-Democrat,4. Moderate; middle of the road,4. Neither favor nor oppose,3. Favor a little,1. Favor a great deal,1. Favor a great deal,2. Favor a moderate amount,1. Favor a great deal,2. Favor a moderate amount,she's not Donald Trump. tries to make the world a better place,"shaky record, doesn't outwardly reject the jihadi wing is the Democratic party",NA,Insurrectionist sociopath convicted criminal with many awful ideas who brings out the worst in people.,competent leadership,70,25
140057,52,45-54,1. Man,"1. White, non-Hispanic",2. High school credential,5. Independent-Republican,3. Slightly liberal,4. Neither favor nor oppose,6. Oppose moderately,4. Neither favor nor oppose,4. Neither favor nor oppose,4. Neither favor nor oppose,4. Neither favor nor oppose,4. Neither favor nor oppose,don't care for trump,NA,NA,NA,illegal miragrasion,NA,50
140058,59,55-64,1. Man,"1. White, non-Hispanic",2. High school credential,5. Independent-Republican,7. Extremely conservative,6. Oppose a moderate amount,2. Favor moderately,2. Favor moderately,2. Favor moderately,4. Neither favor nor oppose,2. Favor a moderate amount,4. Neither favor nor oppose,NA,she is a liar and flip flops on all issues to try to get elected,his Policies are good for just about all classes of people,NA,"economy is bad, prices way to high for almost every essentials for families",60,85
140060,42,35-44,2. Woman,"1. White, non-Hispanic",5. Graduate degree,2. Not very strong Democrat,4. Moderate; middle of the road,6. Oppose a moderate amount,7. Oppose a great deal,4. Neither favor nor oppose,6. Oppose moderately,2. Favor a moderate amount,1. Favor a great deal,3. Favor a little,I don’t watch too much about the issues but Harris is for eliminating student debt and she’s a woman of color and I’m ready for a change in thought hopefully in politics. might make me actually pay attention more,NA,NA,he’s a convicted felon and he incites hate. he creates discrimination/prejudices and encourages it,division and extremists,85,0
140061,-2,NA,1. Man,"1. White, non-Hispanic",5. Graduate degree,1. Strong Democrat,1. Extremely liberal,1. Favor a great deal,7. Oppose a great deal,1. Favor a great deal,7. Oppose a great deal,2. Favor a moderate amount,1. Favor a great deal,4. Neither favor nor oppose,"she worked alongside President carrying out his agenda, she has had expérience at different levels of government, she is a woman",NA,NA,"He lies systematically, He's a rapist, and enemy of the constitution, a deceitful businessman, a horrible thief of national security documents, etc.[CHAR(10)]",the Palestinian issue,85,0
140062,41,35-44,2. Woman,"1. White, non-Hispanic",5. Graduate degree,1. Strong Democrat,2. Liberal,1. Favor a great deal,7. Oppose a great deal,3. Favor a little,7. Oppose a great deal,1. Favor a great deal,1. Favor a great deal,4. Neither favor nor oppose,"She is a candidate of a major party who sees the people’s struggles (i.e., crippling student loan debt) and wants to help them. Also, because she is not Donald Trump, who is an enormous liar, crook, and horrible person. I should add that I believe that at this point, only a candidate from one of the 2 major parties has a chance of becoming president. The other parties just do not have enough voters. Therefore I must choose Harris in order to make sure Trump does not become president, even if I would consider other candidates.",NA,NA,Everything we know about him.,"Women's rights, bug business",70,0
140063,42,35-44,1. Man,"1. White, non-Hispanic",4. Bachelor's degree,3. Independent-Democrat,3. Slightly liberal,6. Oppose a moderate amount,6. Oppose moderately,2. Favor moderately,1. Favor a great deal,5. Oppose a little,2. Favor a moderate amount,3. Favor a little,Salt Tax reenactment,"Immigration, Foreign Policy, Economy","Economy, Foreign Policy",Abortion rights,Immigration & Economy,30,60
140065,50,45-54,1. Man,"1. White, non-Hispanic","3. Some post-high school, no bachelor's degree",2. Not very strong Democrat,5. Slightly conservative,6. Oppose a moderate amount,7. Oppose a great deal,3. Favor a little,4. Neither favor nor oppose,4. Neither favor nor oppose,2. Favor a moderate amount,4. Neither favor nor oppose,"she’s not Trump for starters! she doesn’t sow division, she doesn’t spew hatred and racism and bigotry like trump does and she’s against project 2025.",NA,NA,the division he sows and the lies that caused the January 6th riot of the transfer of power. the downplaying of Covid. the hate he spews when he opens his mouth. he’s only for himself!,a convicted felon as president and the disregard for justice truth and integrity.,70,0
140066,80,NA,2. Woman,"1. White, non-Hispanic",5. Graduate degree,1. Strong Democrat,1. Extremely liberal,1. Favor a great deal,7. Oppose a great deal,1. Favor a great deal,7. Oppose a great deal,1. Favor a great deal,1. Favor a great deal,1. Favor a great deal,She is not Donald Trump. She is also acceptable to me as I am a Bernie Sanders social democrat.,NA,NA,"He is an antidemocratic criminal, racist, sexist, assaulter of women, liar, cheat and general scum bag.","Global warming, the loss of our checks and balances.",100,0
140067,43,35-44,2. Woman,"1. White, non-Hispanic",5. Graduate degree,1. Strong Democrat,1. Extremely liberal,1. Favor a great deal,7. Oppose a great deal,1. Favor a great deal,4. Neither favor nor oppose,1. Favor a great deal,1. Favor a great deal,3. Favor a little,"She wants to govern, not just win. I like her positive attitude. She cares about the environment.",NA,NA,"He is only in it for himself, and he wants to destroy democracy itself to enrich his own family. He sees life as a game of winners and losers, where he wants to win and doesn't care about anyone else.",Climate change,85,0
140068,37,35-44,2. Woman,"2. Black, non-Hispanic",5. Graduate degree,2. Not very strong Democrat,4. Moderate; middle of the road,4. Neither favor nor oppose,7. Oppose a great deal,5. Oppose a little,3. Favor a little,-6. No post interview,-6. No post interview,-6. No post interview,her policies regarding student loans forgiveness,NA,NA,he is a racist,NA,NA,NA
140070,65,65+,2. Woman,"1. White, non-Hispanic","3. Some post-high school, no bachelor's degree",2. Not very strong Democrat,4. Moderate; middle of the road,6. Oppose a moderate amount,5. Oppose a little,1. Favor a great deal,4. Neither favor nor oppose,1. Favor a great deal,1. Favor a great deal,2. Favor a moderate amount,NA,NA,NA,"His character.    He is so unkind, dishonest and a criminal.",conflict among parties,70,0
140072,64,55-64,2. Woman,"1. White, non-Hispanic",2. High school credential,1. Strong Democrat,2. Liberal,4. Neither favor nor oppose,6. Oppose moderately,2. Favor moderately,4. Neither favor nor oppose,"-5. Sufficient partial, breakoff","-5. Sufficient partial, breakoff","-5. Sufficient partial, breakoff",Ibeleiveshecanbetrustedwithournation[CHAR(10)],NA,NA,his egotisticle vengfulold.man that s not know to be a decent person &heis a liar,NA,NA,NA
140073,43,35-44,1. Man,"1. White, non-Hispanic","3. Some post-high school, no bachelor's degree",7. Strong Republican,99. Haven't thought much about this,7. Oppose a great deal,1. Favor a great deal,4. Neither favor nor oppose,2. Favor moderately,2. Favor a moderate amount,1. Favor a great deal,1. Favor a great deal,NA,"She has done nothing as VP during her term, the border situation is terrible and now confirmed to have let known terrorists into the country. She was not even voted on by the people to be their nominee but just stepped into after knowing Biden was not mentally fit to run.","When he left office everything was going on the right direction, now yrs later our country is a mess. I feel under him we can get back to being a great nation and back on track.",NA,World War 3 happening.,0,100
140074,25,25-34,1. Man,"2. Black, non-Hispanic",4. Bachelor's degree,4. Independent,99. Haven't thought much about this,4. Neither favor nor oppose,7. Oppose a great deal,4. Neither favor nor oppose,4. Neither favor nor oppose,4. Neither favor nor oppose,4. Neither favor nor oppose,4. Neither favor nor oppose,NA,NA,NA,NA,Housing healthcare,40,40
